name,crust,size,energy_kcal_100g,energy_kj_100g,fat_g_100g,sat_g_100g,carb_g_100g,sugars_g_100g,fibre_g_100g,protein_g_100g,salt_g_100g,sodium_g_100g,energy_kcal_serv,energy_kj_serv,fat_g_serv,sat_g_serv,carb_g_serv,sugars_g_serv,fibre_g_serv,protein_g_serv,salt_g_serv,sodium_g_serv,energy_kcal_rda,fat_rda,sat_rda,carb_rda,sugars_rda,fibre_rda,protein_rda,salt_rda,sodium_rda
Gluten Free Pizzas,GF Cheese & Tomato,Small,260,1087,10.1,5.9,32.1,3.6,3,8.7,1.29,0.51,804,3360,31.1,18.2,99.3,11,9.3,26.7,4,1.57,0.4,0.44,0.91,0.38,0.12,0.31,0.53,0.67,0.65
Gluten Free Pizzas,GF Vegi Supreme,Small,205,856,6.6,3.7,29,3.7,3,6,0.94,0.37,744,3116,24,13.5,105.7,13.3,10.9,21.8,3.42,1.34,0.37,0.34,0.68,0.41,0.15,0.36,0.44,0.57,0.56
Gluten Free Pizzas,GF Pepperoni Passion,Small,303,1262,16,8,27.6,3,2.6,10.7,1.85,0.73,1097,4574,58.1,28.9,99.9,11,9.3,38.8,6.7,2.63,0.55,0.83,1.44,0.38,0.12,0.31,0.78,1.12,1.1
Gluten Free Pizzas,GF Texas BBQ,Small,283,1191,9.7,3.5,38.5,13.4,3.1,9.3,1.6,0.63,824,3469,28.1,10.1,112.1,38.9,9.1,27,4.67,1.84,0.41,0.4,0.5,0.43,0.43,0.3,0.54,0.78,0.77
Gluten Free Pizzas,GF New Yorker,Small,259,1082,12.1,5.1,26.7,2.9,2.6,9.4,1.67,0.66,964,4027,44.9,19,99.4,10.8,9.6,35.1,6.23,2.45,0.48,0.64,0.95,0.38,0.12,0.32,0.7,1.04,1.02
Vegan Pizza,Vegan Margherita,Medium,277,1159,8.8,6,42.5,5.1,2.9,8.5,1.07,0.42,500,2092,15.9,10.8,76.7,9.2,5.2,15.3,1.92,0.76,0.25,0.23,0.54,0.3,0.1,0.17,0.31,0.32,0.32
Vegan Pizza,Vegan Vegi Supreme,Medium,233,975,7.1,4.6,36.1,5.8,2.5,7.5,0.88,0.35,503,2103,15.3,9.9,77.9,12.5,5.4,16.2,1.89,0.74,0.25,0.22,0.5,0.3,0.14,0.18,0.32,0.32,0.31
Vegan Pizza,Vegan Margherita - Italian Style,Large,248,1044,8,5.4,35.3,5,2.2,7.7,1.18,0.47,439,1848,45.9,29.7,233.7,37.5,16.2,48.6,5.67,2.27,0.22,0.66,1.48,0.9,0.42,0.54,0.97,0.94,0.95
Vegan Pizza,Vegan Vegi Supreme - Italian Style,Large,219,920,7.3,5.2,30.7,4.1,2.2,6.4,0.88,0.35,456,1915,15.2,10.8,63.9,8.5,4.6,13.3,1.83,0.73,0.23,0.22,0.54,0.25,0.09,0.15,0.27,0.3,0.3
American Hot,Classic Crust,Large,272,1144,11.1,5.1,30.2,6.3,1.9,11.9,1.75,0.69,626,2631,25.6,11.8,69.6,14.4,4.4,27.3,4.02,1.58,0.31,0.37,0.59,0.27,0.16,0.15,0.55,0.67,0.66
American Hot,Classic Crust,Medium,285,1193,12.3,5.8,31.6,6.4,2.1,10.9,1.76,0.69,567,2378,24.4,11.5,63,12.7,4.2,21.7,3.51,1.38,0.28,0.35,0.57,0.24,0.14,0.14,0.43,0.58,0.57
American Hot,Classic Crust,Small,255,1065,10.6,5,27.4,4,2.2,11.6,1.57,0.62,1044,4360,43.2,20.5,112.2,16.2,9.1,47.5,6.41,2.52,0.52,0.62,1.02,0.43,0.18,0.3,0.95,1.07,1.05
American Hot,Classic Crust,Personal,311,1308,11,5.1,41.9,6.1,2.1,10.1,1.8,0.71,588,2476,20.8,9.6,79.3,11.6,3.9,19.2,3.41,1.34,0.29,0.3,0.48,0.3,0.13,0.13,0.38,0.57,0.56
American Hot,Italian Style Crust,Large,269,1127,12.3,5.7,25.1,7.1,2,13.6,1.87,0.74,517,2165,23.6,11,48.1,13.6,3.9,26.1,3.6,1.42,0.26,0.34,0.55,0.18,0.15,0.13,0.52,0.6,0.59
American Hot,Italian Style Crust,Medium,273,1142,12.8,5.9,25.6,6.8,2.2,12.8,1.93,0.76,458,1918,21.4,10,43,11.4,3.7,21.5,3.25,1.28,0.23,0.31,0.5,0.17,0.13,0.12,0.43,0.54,0.53
American Hot,Italian Style Crust,Small,293,1228,13.3,6.3,30.8,3.6,1.9,11.7,1.97,0.78,915,3833,41.6,19.8,96.1,11.2,5.9,36.6,6.16,2.42,0.46,0.59,0.99,0.37,0.12,0.2,0.73,1.03,1.01
American Hot,Stuffed Crust,Large,253,1057,11.1,5.6,25.4,6.5,3.8,10.8,1.6,0.63,673,2818,29.7,15,67.6,17.3,10.2,28.7,4.26,1.67,0.34,0.42,0.75,0.26,0.19,0.34,0.57,0.71,0.7
American Hot,Stuffed Crust,Medium,266,1113,12.4,5.9,26.8,6.6,3.7,9.9,1.66,0.65,656,2746,30.6,14.7,66.3,16.4,9.2,24.4,4.1,1.61,0.33,0.44,0.74,0.26,0.18,0.31,0.49,0.68,0.67
American Hot,Thin & Crispy Crust,Large,294,1230,14.8,6.8,28.5,5.7,1.9,10.8,1.87,0.73,481,2011,24.1,11.2,46.6,9.4,3.2,17.7,3.05,1.2,0.24,0.34,0.56,0.18,0.1,0.11,0.35,0.51,0.5
American Hot,Thin & Crispy Crust,Medium,310,1294,15.7,7.3,28.4,5.5,1.8,12.7,2.29,0.9,452,1889,22.9,10.6,41.5,8.1,2.6,18.5,3.35,1.32,0.23,0.33,0.53,0.16,0.09,0.09,0.37,0.56,0.55
Americano,Classic Crust,Large,310,1298,15.1,7.5,29.8,12.1,2,12.9,1.65,0.65,703,2941,34.2,16.9,67.5,27.5,4.6,29.3,3.73,1.47,0.35,0.49,0.84,0.26,0.31,0.15,0.59,0.62,0.61
Americano,Classic Crust,Medium,327,1374,12.2,6,37.1,11.4,2.1,16.3,1.67,0.66,643,2700,24,11.8,72.8,22.4,4.1,32.1,3.29,1.29,0.32,0.34,0.59,0.28,0.25,0.14,0.64,0.55,0.54
Americano,Classic Crust,Small,328,1374,13.1,6.2,37.4,11.3,1.7,14.4,1.95,0.77,1098,4606,43.9,20.7,125.2,37.9,5.7,48.2,6.53,2.57,0.55,0.63,1.03,0.48,0.42,0.19,0.96,1.09,1.07
Americano,Classic Crust,Personal,353,1483,11.6,5.6,45.7,12,2.1,15.5,1.99,0.78,665,2793,21.8,10.5,86.1,22.5,4,29.3,3.75,1.47,0.33,0.31,0.52,0.33,0.25,0.13,0.59,0.62,0.61
Americano,Italian Style Crust,Large,321,1348,11.9,5.6,39.8,14.6,2.1,12.9,2,0.79,606,2543,22.4,10.5,75,27.6,3.9,24.3,3.77,1.48,0.3,0.32,0.52,0.29,0.31,0.13,0.49,0.63,0.62
Americano,Italian Style Crust,Medium,316,1329,12,5.6,38.5,14.9,2.5,12.6,2.06,0.81,658,2764,24.9,11.6,80,31,5.2,26.3,4.29,1.69,0.33,0.36,0.58,0.31,0.34,0.17,0.53,0.72,0.7
Americano,Italian Style Crust,Small,309,1289,12.8,6.3,33,12,2,14.8,1.95,0.77,952,3976,39.4,19.6,101.7,36.9,6.1,45.6,6.02,2.37,0.48,0.56,0.98,0.39,0.41,0.2,0.91,1,0.99
Americano,Stuffed Crust,Large,312,1310,12.6,6.6,31.6,9.6,2.6,16.9,1.92,0.75,820,3445,33.2,17.3,83,25.3,6.8,44.6,5.04,1.98,0.41,0.47,0.86,0.32,0.28,0.23,0.89,0.84,0.82
Americano,Stuffed Crust,Medium,310,1296,12.4,6.2,31.2,10.2,3.9,16.3,1.76,0.69,755,3164,30.4,15.1,76.2,25,9.6,39.7,4.3,1.69,0.38,0.43,0.76,0.29,0.28,0.32,0.79,0.72,0.7
Americano,Thin & Crispy Crust,Large,336,1407,14.5,6.8,32.8,13.3,3.1,17.1,2.03,0.8,537,2252,23.3,10.9,52.5,21.3,5,27.3,3.25,1.28,0.27,0.33,0.55,0.2,0.24,0.17,0.55,0.54,0.53
Americano,Thin & Crispy Crust,Medium,345,1443,15.3,7.1,35.7,13.1,3.2,14.7,2.14,0.84,495,2071,21.9,10.2,51.3,18.8,4.5,21.1,3.06,1.21,0.25,0.31,0.51,0.2,0.21,0.15,0.42,0.51,0.5
Bacon Double Cheese,Classic Crust,Large,273,1148,11.4,5.1,28.9,5.8,1.8,13.1,1.34,0.53,657,2761,27.3,12.2,69.5,14,4.3,31.4,3.22,1.27,0.33,0.39,0.61,0.27,0.16,0.14,0.63,0.54,0.53
Bacon Double Cheese,Classic Crust,Medium,283,1186,12.2,5.5,30.3,6,2,12,1.32,0.52,585,2457,25.2,11.5,62.8,12.3,4.1,25,2.73,1.07,0.29,0.36,0.57,0.24,0.14,0.14,0.5,0.46,0.45
Bacon Double Cheese,Classic Crust,Small,253,1056,10.3,4.6,26.5,3.7,2.1,12.5,1.16,0.46,1064,4447,43.3,19.4,111.7,15.4,8.9,52.6,4.88,1.92,0.53,0.62,0.97,0.43,0.17,0.3,1.05,0.81,0.8
Bacon Double Cheese,Classic Crust,Personal,309,1300,11.7,4.6,38.9,5.6,1.9,11.2,1.42,0.56,629,2648,23.8,9.4,79.2,11.4,3.9,22.8,2.89,1.14,0.31,0.34,0.47,0.3,0.13,0.13,0.46,0.48,0.48
Bacon Double Cheese,Italian Style Crust,Large,270,1133,12.5,5.6,23.7,6.5,1.9,14.9,1.39,0.55,547,2294,25.3,11.4,48,13.2,3.8,30.2,2.81,1.1,0.27,0.36,0.57,0.18,0.15,0.13,0.6,0.47,0.46
Bacon Double Cheese,Italian Style Crust,Medium,271,1136,12.6,5.7,24.3,6.3,2,14.1,1.4,0.55,477,1998,22.2,9.9,42.8,11,3.6,24.7,2.46,0.97,0.24,0.32,0.5,0.16,0.12,0.12,0.49,0.41,0.4
Bacon Double Cheese,Italian Style Crust,Small,288,1210,12.9,5.8,29.5,3.2,1.8,12.9,1.43,0.56,934,3920,41.8,18.7,95.6,10.4,5.7,41.6,4.63,1.82,0.47,0.6,0.94,0.37,0.12,0.19,0.83,0.77,0.76
Bacon Double Cheese,Stuffed Crust,Large,254,1064,11.3,5.6,24.4,6.1,3.7,11.8,1.25,0.49,704,2948,31.4,15.5,67.5,16.9,10.1,32.7,3.46,1.36,0.35,0.45,0.78,0.26,0.19,0.34,0.65,0.58,0.57
Bacon Double Cheese,Stuffed Crust,Medium,265,1110,12.3,5.8,25.9,6.3,3.6,10.9,1.3,0.51,674,2824,31.3,14.6,66,16,9.1,27.7,3.31,1.3,0.34,0.45,0.73,0.25,0.18,0.3,0.55,0.55,0.54
Bacon Double Cheese,Thin & Crispy Crust,Large,294,1230,14.8,6.7,26.7,5.1,1.8,12.5,1.3,0.51,511,2140,25.8,11.6,46.5,9,3.1,21.7,2.26,0.89,0.26,0.37,0.58,0.18,0.1,0.1,0.43,0.38,0.37
Bacon Double Cheese,Thin & Crispy Crust,Medium,306,1279,15.4,6.9,26.9,5,1.6,14.2,1.66,0.65,471,1971,23.7,10.6,41.4,7.7,2.5,21.8,2.56,1.01,0.24,0.34,0.53,0.16,0.09,0.08,0.44,0.43,0.42
Buffalo Chicken,Classic Crust,Large,231,975,6.7,3.3,28.7,6.1,2,9.6,1.45,0.57,576,2424,16.6,8.2,71.4,15.2,4.9,23.8,3.61,1.42,0.29,0.24,0.41,0.27,0.17,0.16,0.48,0.6,0.59
Buffalo Chicken,Classic Crust,Medium,239,1006,7.2,3.7,30.2,6.3,2.2,12.6,1.45,0.57,509,2144,15.3,7.9,64.5,13.3,4.6,26.8,3.09,1.22,0.25,0.22,0.4,0.25,0.15,0.15,0.54,0.52,0.51
Buffalo Chicken,Classic Crust,Small,213,894,5.7,3.1,26.6,4,2.3,13.1,1.26,0.5,924,3869,24.9,13.2,115,17.4,9.9,56.5,5.47,2.15,0.46,0.36,0.66,0.44,0.19,0.33,1.13,0.91,0.9
Buffalo Chicken,Classic Crust,Personal,265,1121,6.3,3.1,39.6,6,2.1,12,1.5,0.59,541,2283,12.8,6.4,80.7,12.3,4.3,24.4,3.05,1.2,0.27,0.18,0.32,0.31,0.14,0.14,0.49,0.51,0.5
Buffalo Chicken,Italian Style Crust,Large,221,929,6.9,3.5,23.7,6.8,2.1,10.7,1.52,0.6,466,1957,14.6,7.4,49.9,14.4,4.3,22.6,3.2,1.26,0.23,0.21,0.37,0.19,0.16,0.14,0.45,0.53,0.52
Buffalo Chicken,Italian Style Crust,Medium,220,927,6.8,3.5,24.4,6.6,2.3,14.6,1.55,0.61,401,1685,12.3,6.3,44.4,12,4.1,26.6,2.82,1.11,0.2,0.18,0.32,0.17,0.13,0.14,0.53,0.47,0.46
Buffalo Chicken,Italian Style Crust,Small,236,995,6.9,3.7,29.4,3.7,2,13.6,1.55,0.61,794,3343,23.3,12.5,98.9,12.4,6.7,45.6,5.22,2.05,0.4,0.33,0.62,0.38,0.14,0.22,0.91,0.87,0.85
Buffalo Chicken,Stuffed Crust,Large,220,922,7.2,4.1,24.6,3.9,3.1,9.9,1.39,0.55,688,2881,22.5,13,76.8,12.1,9.7,31.1,4.36,1.71,0.34,0.32,0.65,0.3,0.13,0.32,0.62,0.73,0.71
Buffalo Chicken,Stuffed Crust,Medium,230,964,8.2,4.2,26,6.5,3.7,11.3,1.41,0.55,598,2512,21.5,11,67.7,17,9.6,29.5,3.67,1.44,0.3,0.31,0.55,0.26,0.19,0.32,0.59,0.61,0.6
Buffalo Chicken,Thin & Crispy Crust,Large,236,990,8.3,4.1,26.6,5.6,2,7.8,1.45,0.57,430,1804,15.1,7.6,48.4,10.1,3.7,14.1,2.65,1.04,0.22,0.22,0.38,0.19,0.11,0.12,0.28,0.44,0.43
Buffalo Chicken,Thin & Crispy Crust,Medium,247,1036,8.6,4.4,26.9,5.5,1.9,14.8,1.83,0.72,395,1659,13.8,7,43,8.7,3,23.7,2.93,1.15,0.2,0.2,0.35,0.17,0.1,0.1,0.47,0.49,0.48
Catalan Chicken and Chorizo,Classic Crust,Large,257,1079,10,4.2,28.4,6.1,2,12.6,1.25,0.49,660,2774,25.7,10.9,72.9,15.8,5.2,32.4,3.23,1.27,0.33,0.37,0.55,0.28,0.18,0.17,0.65,0.54,0.53
Catalan Chicken and Chorizo,Classic Crust,Medium,263,1102,10.4,4.6,29.6,6.3,2.2,11.8,1.21,0.48,588,2465,23.3,10.2,66.1,14,5,26.3,2.71,1.06,0.29,0.33,0.51,0.25,0.16,0.17,0.53,0.45,0.44
Catalan Chicken and Chorizo,Classic Crust,Small,231,965,8.8,3.9,24.6,4.1,2.3,12.5,1.07,0.42,997,4188,37,15.7,114.6,19.8,7.1,48.7,4.74,1.87,0.5,0.53,0.78,0.44,0.22,0.24,0.97,0.79,0.78
Catalan Chicken and Chorizo,Classic Crust,Personal,280,1179,8.9,3.9,37.3,5.9,2.2,11.7,1.24,0.49,624,2626,19.9,8.6,83.1,13.2,4.9,26.1,2.77,1.09,0.31,0.28,0.43,0.32,0.15,0.16,0.52,0.46,0.45
Catalan Chicken and Chorizo,Italian Style Crust,Large,252,1053,10.8,4.6,23.5,6.8,2.1,14.2,1.28,0.5,551,2307,23.6,10,51.5,15,4.7,31.2,2.81,1.11,0.28,0.34,0.5,0.2,0.17,0.16,0.62,0.47,0.46
Catalan Chicken and Chorizo,Italian Style Crust,Medium,249,1043,10.5,4.5,24,6.6,2.3,13.6,1.27,0.5,479,2006,20.3,8.7,46.1,12.7,4.5,26.1,2.44,0.96,0.24,0.29,0.43,0.18,0.14,0.15,0.52,0.41,0.4
Catalan Chicken and Chorizo,Italian Style Crust,Small,263,1101,10.4,4.8,28.7,3.8,2.1,12.8,1.28,0.5,935,3920,37.2,16.9,102,13.7,7.5,45.5,4.56,1.79,0.47,0.53,0.84,0.39,0.15,0.25,0.91,0.76,0.75
Catalan Chicken and Chorizo,Stuffed Crust,Large,241,1009,10.1,4.8,24.2,6.4,3.8,11.5,1.18,0.46,708,2961,29.7,14.1,71,18.7,11,33.7,3.47,1.36,0.35,0.42,0.7,0.27,0.21,0.37,0.67,0.58,0.57
Catalan Chicken and Chorizo,Stuffed Crust,Medium,250,1045,10.9,4.9,25.6,6.5,3.7,10.7,1.21,0.48,676,2833,29.4,13.4,69.3,17.7,10,29,3.29,1.29,0.34,0.42,0.67,0.27,0.2,0.33,0.58,0.55,0.54
Catalan Chicken and Chorizo,Thin & Crispy Crust,Large,270,1130,12.7,5.4,26.2,5.6,2.1,11.9,1.19,0.47,515,2154,24.1,10.2,50,10.8,4,22.8,2.26,0.89,0.26,0.34,0.51,0.19,0.12,0.13,0.46,0.38,0.37
Catalan Chicken and Chorizo,Thin & Crispy Crust,Medium,278,1161,12.8,5.5,26.2,5.5,2,13.6,1.49,0.59,473,1980,21.8,9.3,44.7,9.4,3.4,23.2,2.55,1,0.24,0.31,0.46,0.17,0.1,0.11,0.46,0.42,0.42
Chicken Feast,Classic Crust,Large,251,1058,7.2,3.5,30.6,5.9,2,15.3,1.11,0.44,595,2508,17.1,8.3,72.6,13.9,4.8,36.3,2.63,1.03,0.3,0.24,0.42,0.28,0.15,0.16,0.73,0.44,0.43
Chicken Feast,Classic Crust,Medium,259,1091,7.7,3.9,32.1,6,2.2,14.6,1.07,0.42,531,2234,15.8,8,65.8,12.3,4.6,29.8,2.19,0.86,0.27,0.23,0.4,0.25,0.14,0.15,0.6,0.36,0.36
Chicken Feast,Classic Crust,Small,232,971,6.2,3.2,28.3,3.7,2.3,14.8,0.93,0.37,955,4000,25.6,13.3,116.7,15.3,9.7,60.8,3.84,1.51,0.48,0.37,0.66,0.45,0.17,0.32,1.22,0.64,0.63
Chicken Feast,Classic Crust,Personal,286,1208,6.7,3.3,42,5.8,2.2,13.6,1.15,0.45,557,2351,13.1,6.4,81.7,11.3,4.2,26.6,2.24,0.88,0.28,0.19,0.32,0.31,0.13,0.14,0.53,0.37,0.37
Chicken Feast,Italian Style Crust,Large,244,1026,7.5,3.7,25.7,6.6,2.1,17.6,1.11,0.44,485,2042,15,7.5,51.1,13.1,4.3,35.1,2.21,0.87,0.24,0.21,0.38,0.2,0.15,0.14,0.7,0.37,0.36
Chicken Feast,Italian Style Crust,Medium,243,1023,7.4,3.7,26.4,6.3,2.3,17.1,1.11,0.44,422,1774,12.8,6.4,45.7,11,4,29.6,1.92,0.76,0.21,0.18,0.32,0.18,0.12,0.13,0.59,0.32,0.32
Chicken Feast,Italian Style Crust,Small,262,1103,7.6,4,32,3.3,2.1,15.8,1.14,0.45,825,3474,24,12.6,100.7,10.2,6.5,49.9,3.59,1.41,0.41,0.34,0.63,0.39,0.11,0.22,1,0.6,0.59
Chicken Feast,Stuffed Crust,Large,235,985,7.7,4.2,25.8,6.2,3.9,13.7,1.05,0.41,642,2695,21.1,11.5,70.6,16.8,10.6,37.6,2.87,1.13,0.32,0.3,0.57,0.27,0.19,0.35,0.75,0.48,0.47
Chicken Feast,Stuffed Crust,Medium,246,1032,8.7,4.4,27.4,6.3,3.8,12.9,1.1,0.43,620,2602,21.9,11.1,69,15.9,9.6,32.5,2.77,1.09,0.31,0.31,0.55,0.27,0.18,0.32,0.65,0.46,0.45
Chicken Feast,Thin & Crispy Crust,Large,263,1107,9.1,4.5,29.1,5.2,2.1,15.6,0.98,0.38,449,1888,15.6,7.6,49.6,8.9,3.6,26.6,1.67,0.66,0.22,0.22,0.38,0.19,0.1,0.12,0.53,0.28,0.28
Chicken Feast,Thin & Crispy Crust,Medium,275,1153,9.4,4.7,29.2,5.1,1.9,17.6,1.34,0.53,416,1748,14.3,7.1,44.3,7.7,3,26.7,2.03,0.8,0.21,0.2,0.36,0.17,0.09,0.1,0.53,0.34,0.33
Deluxe,Classic Crust,Large,263,1106,10.4,4.8,29.7,6.1,1.9,12,1.35,0.53,623,2618,24.6,11.4,70.3,14.6,4.5,28.4,3.2,1.26,0.31,0.35,0.57,0.27,0.16,0.15,0.57,0.53,0.52
Deluxe,Classic Crust,Medium,274,1147,11.3,5.4,30.9,6.2,2.1,11,1.35,0.53,563,2363,23.3,11,63.8,12.9,4.3,22.7,2.78,1.09,0.28,0.33,0.55,0.25,0.14,0.14,0.45,0.46,0.45
Deluxe,Classic Crust,Small,246,1026,9.7,4.6,27,3.9,2.2,11.7,1.21,0.47,1033,4316,40.7,19.5,113.5,16.4,9.3,49.4,5.08,2,0.52,0.58,0.98,0.44,0.18,0.31,0.99,0.85,0.83
Deluxe,Classic Crust,Personal,296,1247,9.8,4.5,40.8,6,2,10.4,1.39,0.54,581,2449,19.2,8.9,80.2,11.8,4,20.3,2.72,1.07,0.29,0.27,0.44,0.31,0.13,0.13,0.41,0.45,0.45
Deluxe,Italian Style Crust,Large,258,1082,11.3,5.3,24.6,6.9,2,13.7,1.4,0.55,514,2152,22.5,10.5,48.8,13.7,4,27.2,2.79,1.1,0.26,0.32,0.52,0.19,0.15,0.13,0.54,0.46,0.46
Deluxe,Italian Style Crust,Medium,260,1090,11.6,5.4,25,6.6,2.2,12.9,1.44,0.57,455,1904,20.3,9.5,43.7,11.6,3.8,22.5,2.52,0.99,0.23,0.29,0.48,0.17,0.13,0.13,0.45,0.42,0.41
Deluxe,Italian Style Crust,Small,279,1170,12.1,5.8,30.1,3.5,1.9,11.9,1.49,0.59,904,3790,39.2,18.8,97.4,11.4,6.1,38.4,4.82,1.9,0.45,0.56,0.94,0.37,0.13,0.2,0.77,0.8,0.79
Deluxe,Stuffed Crust,Large,245,1026,10.5,5.3,25,6.4,3.8,10.9,1.26,0.5,670,2805,28.7,14.6,68.3,17.5,10.3,29.8,3.44,1.35,0.34,0.41,0.73,0.26,0.19,0.34,0.6,0.57,0.56
Deluxe,Stuffed Crust,Medium,257,1077,11.6,5.6,26.4,6.5,3.7,10,1.33,0.52,652,2732,29.5,14.2,67,16.5,9.3,25.4,3.37,1.32,0.33,0.42,0.71,0.26,0.18,0.31,0.51,0.56,0.55
Deluxe,Thin & Crispy Crust,Large,280,1173,13.5,6.3,27.8,5.6,1.9,11,1.32,0.52,478,1998,23.1,10.7,47.3,9.5,3.3,18.8,2.24,0.88,0.24,0.33,0.53,0.18,0.11,0.11,0.38,0.37,0.37
Deluxe,Thin & Crispy Crust,Medium,295,1232,14.3,6.6,27.9,5.4,1.8,12.8,1.71,0.67,460,1926,22.3,10.4,43.7,8.5,2.8,20.1,2.68,1.05,0.23,0.32,0.52,0.17,0.09,0.09,0.4,0.45,0.44
Farmhouse,Classic Crust,Large,233,981,7.1,3.5,29.3,6.1,1.9,12,1.27,0.5,552,2327,16.9,8.4,69.5,14.5,4.5,28.6,3.02,1.19,0.28,0.24,0.42,0.27,0.16,0.15,0.57,0.5,0.5
